modelo,fold_repetition,accuracy,precision,recall_sensibilidad,f1,roc_auc
KNN,29,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9551917989417988
KNN,30,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.9844064386317908
KNN,31,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.986079266295447
KNN,32,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.9841139862430397
KNN,33,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9847883597883599
KNN,34,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9975198412698412
KNN,35,0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9560697518443998
KNN,36,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9710121192269898
KNN,37,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.9968883065836882
KNN,38,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9828042328042329
KNN,39,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9841269841269842
KNN,40,0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953051643192488
KNN,41,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9844415329184408
KNN,42,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.998689813298395
KNN,43,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9993386243386243
KNN,44,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9839616402116401
KNN,45,0.9026548672566371,0.918918918918919,0.8095238095238095,0.8607594936708861,0.9475184439973172
KNN,46,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9968883065836882
KNN,47,0.9298245614035088,0.9487179487179487,0.8604651162790697,0.9024390243902439,0.9810022928267277
KNN,48,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9720568783068783
KNN,49,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9932208994708994
KNN,50,0.9734513274336283,1.0,0.9285714285714286,0.9629629629629629,0.9979879275653923
SVM,1,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9888634130363576
SVM,2,0.9912280701754386,1.0,0.9767441860465116,0.9882352941176471,0.9967245332459875
SVM,3,0.9736842105263158,0.9333333333333333,1.0,0.9655172413793104,0.9990079365079365
SVM,4,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9976851851851852
SVM,5,0.9911504424778761,1.0,0.9761904761904762,0.9879518072289156,0.9956405097250168
SVM,6,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9911562397641663
SVM,7,0.9473684210526315,0.9512195121951219,0.9069767441860465,0.9285714285714286,0.9819849328529315
SVM,8,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,1.0
SVM,9,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9996693121693122
SVM,10,0.9911504424778761,0.9767441860465116,1.0,0.9882352941176471,0.9989939637826962
SVM,11,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353,0.9941041598427776
SVM,12,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353,0.9970520799213888
SVM,13,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9798280423280423
SVM,14,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,1.0
SVM,15,0.9734513274336283,0.975609756097561,0.9523809523809523,0.963855421686747,0.9983232729711603
SVM,16,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9888634130363578
SVM,17,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353,0.9934490664919751
SVM,18,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9993386243386243
SVM,19,0.9824561403508771,0.9545454545454546,1.0,0.9767441860465116,1.0
SVM,20,0.9646017699115044,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9969818913480886
SVM,21,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9957418932197839
SVM,22,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9954143465443827
SVM,23,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238094
SVM,24,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9877645502645502
SVM,25,0.9911504424778761,0.9767441860465116,1.0,0.9882352941176471,0.999664654594232
SVM,26,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9924664264657714
SVM,27,0.9912280701754386,0.9772727272727273,1.0,0.9885057471264368,0.9993449066491975
SVM,28,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,1.0
SVM,29,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9867724867724867
SVM,30,0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9976525821596244
SVM,31,0.9912280701754386,1.0,0.9767441860465116,0.9882352941176471,0.9898460530625615
SVM,32,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9963969865705863
SVM,33,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9990079365079365
SVM,34,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9990079365079365
SVM,35,0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9892689470154259
SVM,36,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.989190959711759
SVM,37,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9967245332459876
SVM,38,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.998015873015873
SVM,39,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,0.9993386243386244
SVM,40,0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9973172367538565
SVM,41,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762,0.9986898132983951
SVM,42,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9993449066491975
SVM,43,1.0,1.0,1.0,1.0,1.0
SVM,44,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9864417989417988
SVM,45,0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9889336016096579
SVM,46,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9990173599737964
SVM,47,0.9385964912280702,0.9736842105263158,0.8604651162790697,0.9135802469135802,0.9927939731411726
SVM,48,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.986441798941799
SVM,49,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9943783068783069
SVM,50,0.9911504424778761,0.9767441860465116,1.0,0.9882352941176471,0.9989939637826962
Decision Tree,1,0.9298245614035088,0.9487179487179487,0.8604651162790697,0.9024390243902439,0.9161480510972814
Decision Tree,2,0.9298245614035088,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9253193580085161
Decision Tree,3,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9742063492063492
Decision Tree,4,0.9035087719298246,0.8780487804878049,0.8571428571428571,0.8674698795180723,0.8938492063492064
Decision Tree,5,0.9203539823008849,0.9024390243902439,0.8809523809523809,0.891566265060241,0.9123071763916833
Decision Tree,6,0.9035087719298246,0.9,0.8372093023255814,0.8674698795180723,0.8904356370782838
Decision Tree,7,0.9298245614035088,0.8888888888888888,0.9302325581395349,0.9090909090909091,0.9299050114641335
Decision Tree,8,0.9210526315789473,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.8978174603174603
Decision Tree,9,0.9385964912280702,0.8571428571428571,1.0,0.9230769230769231,0.951388888888889
Decision Tree,10,0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.948021462105969
Decision Tree,11,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353,0.9510317720275139
Decision Tree,12,0.9210526315789473,0.8863636363636364,0.9069767441860465,0.896551724137931,0.9182771044873894
Decision Tree,13,0.9035087719298246,0.8444444444444444,0.9047619047619048,0.8735632183908046,0.9037698412698413
Decision Tree,14,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.9196428571428572
Decision Tree,15,0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9334339369550638
Decision Tree,16,0.9210526315789473,0.8863636363636364,0.9069767441860465,0.896551724137931,0.9182771044873894
Decision Tree,17,0.9385964912280702,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.9369472649852603
Decision Tree,18,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9077380952380953
Decision Tree,19,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9295634920634921
Decision Tree,20,0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9409792085848423
Decision Tree,21,0.9298245614035088,0.8888888888888888,0.9302325581395349,0.9090909090909091,0.9299050114641335
Decision Tree,22,0.9298245614035088,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9253193580085161
Decision Tree,23,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9315476190476191
Decision Tree,24,0.8947368421052632,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8720238095238095
Decision Tree,25,0.8849557522123894,0.7735849056603774,0.9761904761904762,0.8631578947368421,0.903588195841717
Decision Tree,26,0.8859649122807017,0.8409090909090909,0.8604651162790697,0.8505747126436781,0.8809367834916476
Decision Tree,27,0.9035087719298246,0.82,0.9534883720930233,0.8817204301075269,0.9133639043563707
Decision Tree,28,0.9035087719298246,0.803921568627451,0.9761904761904762,0.8817204301075269,0.9186507936507937
Decision Tree,29,0.9035087719298246,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.888888888888889
Decision Tree,30,0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.948021462105969
Decision Tree,31,0.9122807017543859,0.851063829787234,0.9302325581395349,0.8888888888888888,0.91582050442188
Decision Tree,32,0.8947368421052632,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8879790370127744
Decision Tree,33,0.9210526315789473,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9176587301587301
Decision Tree,34,0.9210526315789473,0.9024390243902439,0.8809523809523809,0.891566265060241,0.9126984126984126
Decision Tree,35,0.8849557522123894,0.8918918918918919,0.7857142857142857,0.8354430379746836,0.8646881287726358
Decision Tree,36,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9348182115951523
Decision Tree,37,0.9122807017543859,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.9066491975106452
Decision Tree,38,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9553571428571429
Decision Tree,39,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.941468253968254
Decision Tree,40,0.9469026548672567,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.943158953722334
Decision Tree,41,0.9385964912280702,0.95,0.8837209302325582,0.9156626506024096,0.9277759580740256
Decision Tree,42,0.9210526315789473,0.84,0.9767441860465116,0.9032258064516129,0.9320340648542418
Decision Tree,43,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9692460317460317
Decision Tree,44,0.9035087719298246,0.918918918918919,0.8095238095238095,0.8607594936708861,0.8839285714285715
Decision Tree,45,0.911504424778761,0.9,0.8571428571428571,0.8780487804878049,0.9004024144869216
Decision Tree,46,0.956140350877193,0.8958333333333334,1.0,0.945054945054945,0.9647887323943661
Decision Tree,47,0.9035087719298246,0.8809523809523809,0.8604651162790697,0.8705882352941177,0.8950212905339011
Decision Tree,48,0.9385964912280702,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9365079365079365
Decision Tree,49,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9553571428571429
Decision Tree,50,0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9312541918175721
Random Forest,1,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9811660661644284
Random Forest,2,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9877169996724533
Random Forest,3,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9943783068783069
